"WO/SO #","Customer","Invoice#","Outgoing Form#","Invoice Date"
"SO-20241495","Teleo Inc.","","",""
"SO-20241495","Teleo Inc.","","",""
"SO-20241414","SenSen Networks","DS-20250724","",""
"SO-20241415","SenSen Networks","DS-20250724","",""
"SO-20250326","Noah Medical Corporation","","",""
"SO-20250327","Noah Medical Corporation","","",""
"SO-20250328","Noah Medical Corporation","","",""
"SO-20250329","Noah Medical Corporation","","",""
"SO-20250330","Noah Medical Corporation","","",""
"SO-20250331","Noah Medical Corporation","","",""
"SO-20250332","Noah Medical Corporation","","",""
"SO-20240258","Xanthon","","",""
"SO-20240311","Xanthon","","",""
"SO-20240312","Xanthon","","",""
"SO-20240313","Xanthon","","",""
"SO-20240314","Xanthon","","",""
"SO-20240315","Xanthon","","",""
"SO-20250373","Area51 Electronics","","",""
"SO-20250391","Urban Transportation Associates","","",""
"SO-20250418","Area51 Electronics","","",""
"SO-20250419","Area51 Electronics","","",""
"SO-20250455","Tek 84 Engineering Group","","",""
"SO-20250456","Tek 84 Engineering Group","","",""
"SO-20250457","Tek 84 Engineering Group","","",""
"SO-20250458","Tek 84 Engineering Group","","",""
"SO-20250547","Cognex Corporation","","",""
"SO-20250575","Petrospec Engineering Inc.","","",""
"SO-20250605","Musashi AI","DS-20250559","",""
"SO-20250620","Uber Technologies","DS-20250613","",""
"SO-20250621","Uber Technologies","DS-20250613","",""
"SO-20250640","FireFly Automatix, Inc.","","",""
"SO-20250641","FireFly Automatix, Inc.","","",""
"SO-20250642","FireFly Automatix, Inc.","","",""
"SO-20250687","California Designs & Systems, Inc.","","",""
"SO-20250721","Industrial PC","","",""
"SO-20250757","General Dynamics Mission Systems","","",""
"SO-20250759","California Designs & Systems, Inc.","","",""
"SO-20250809","American Portwell Technology, Inc.","DS-20250642","",""
"SO-20250821","Celestica Inc.","","",""
"SO-20250780","Uber Technologies","","",""
"SO-20250779","Uber Technologies","","",""
"SO-20250797","FPInnovations","DS-20250712","",""
"SO-20250871","Traysar Inc.","","",""
"SO-20250872","COAST Automation","","",""
"SO-20250911","Rotor Technologies, Inc.","","",""
"SO-20250953","American Portwell Technology, Inc.","","",""
"SO-20250964","Xiris Automation Inc.","DS-20250795","",""
"SO-20250780","Uber Technologies","","",""
"SO-20250976","Venture Electronics Services (Malaysia) Sdn. Bhd.","DS-20250932","",""
"SO-20250977","Venture Electronics Services (Malaysia) Sdn. Bhd.","DS-20250932","",""
"SO-20250979","Venture Electronics Services (Malaysia) Sdn. Bhd.","DS-20251051","",""
"SO-20250948","SHI International Corp","","",""
"SO-20251014","SHI International Corp","","",""
"SO-20251063","Northbay Networks","DS-20250830","",""
"SO-20251063","Northbay Networks","DS-20250887
","",""
"SO-20250983","Invision Ai, Inc","DS-20250956","",""
"SO-20251000","U.S. Department of Agriculture","","",""
"SO-20251071","8th Revolution","","",""
"SO-20251071","8th Revolution","","",""
"SO-20251084","RIOS Intelligent Machines","","",""
"SO-20251093","Typhoon HIL, Inc.","DS-20250832","",""
"SO-20251097","Sim Sports Corporation / GolfIn","","",""
"SO-20251116","RIOS Intelligent Machines","","",""
"SO-20250899","Contoro Inc","","",""
"SO-20251139","LA Metro","","",""
"SO-20250976","Venture Electronics Services (Malaysia) Sdn. Bhd.","DS-20251051","",""
"SO-20250977","Venture Electronics Services (Malaysia) Sdn. Bhd.","DS-20251051","",""
"SO-20251191","RIOS Intelligent Machines","","",""
"EO-20250002","COAST Automation","","",""
"SO-20250821","Celestica Inc.","","",""
"SO-20251210","Velasea","","",""
"SO-20251212","COAST Automation","","",""
"SO-20251214","NASA Ames Research Center","","",""
"SO-20251228","Honeywell International Inc","","",""
"SO-20251247","Traysar Inc.","DS-20250959","",""
"SO-20251280","Dexterity, Inc.","","",""
"SO-20251285","Sim Sports Corporation / GolfIn","DS-20251112","",""
"SO-20251371","NuPort Robotics Inc.","DS-20251145","",""
"SO-20251388","Cognex Corporation","DS-20251133","",""
"SO-20251389","Cognex Corporation","DS-20251133","",""
"SO-20251421","Noah Medical Corporation","","",""
"SO-20251422","Noah Medical Corporation","","",""
